"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
"combined","Conditional1G3",5,-0.9988,0,0,NA,"Normal",-0.0908,0.169,12.0451,1.5059,13
"combined","Conditional1G3",7,-0.6518,0,0,NA,"Normal",-0.0908,0.169,12.0451,1.5059,13
"combined","Conditional1G3",9,-0.3898,0.04,0.04,-0.5129,"Normal",-0.0908,0.169,12.0451,1.5059,13
"combined","Conditional1G3",11,-0.1782,0.2325,0.19,-0.279,"Normal",-0.0908,0.169,12.0451,1.5059,13
"combined","Conditional1G3",13,0,0.75,0.52,-0.0856,"Normal",-0.0908,0.169,12.0451,1.5059,13
"combined","Conditional1G3",15,0.1544,0.9475,0.2,0.0797,"Normal",-0.0908,0.169,12.0451,1.5059,13
"combined","Conditional1G3",17,0.2912,0.985,0.04,0.2247,"Normal",-0.0908,0.169,12.0451,1.5059,13
"combined","Conditional1G3",19,0.4142,0.9975,0.01,0.3542,"Normal",-0.0908,0.169,12.0451,1.5059,13
"combined","Conditional1G3",21,0.5263,0.9975,0,NA,"Normal",-0.0908,0.169,12.0451,1.5059,13
"combined","Conditional1G3",23,0.6296,0.9975,0,NA,"Normal",-0.0908,0.169,12.0451,1.5059,13
