"expertnb","mode","values","logHR values","p","weight","best.fit","LHR mean","LHR sd","mean","sd","baseline"
1,"UnconditionalG3",5,-0.9988,0,0,"Normal",-0.3468,0.0511,9.3679,0.4373,13
1,"UnconditionalG3",7,-0.6518,0,0,"Normal",-0.3468,0.0511,9.3679,0.4373,13
1,"UnconditionalG3",9,-0.3898,0.2,0.2,"Normal",-0.3468,0.0511,9.3679,0.4373,13
1,"UnconditionalG3",11,-0.1782,1,0.8,"Normal",-0.3468,0.0511,9.3679,0.4373,13
1,"UnconditionalG3",13,0,1,0,"Normal",-0.3468,0.0511,9.3679,0.4373,13
1,"UnconditionalG3",15,0.1544,1,0,"Normal",-0.3468,0.0511,9.3679,0.4373,13
1,"UnconditionalG3",17,0.2912,1,0,"Normal",-0.3468,0.0511,9.3679,0.4373,13
1,"UnconditionalG3",19,0.4142,1,0,"Normal",-0.3468,0.0511,9.3679,0.4373,13
1,"UnconditionalG3",21,0.5263,1,0,"Normal",-0.3468,0.0511,9.3679,0.4373,13
1,"UnconditionalG3",23,0.6296,1,0,"Normal",-0.3468,0.0511,9.3679,0.4373,13
