"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
4,"UnconditionalG1",6,-1.1654,0,0,NA,"Normal",-0.1242,0.1243,16.1538,1.3825,18
4,"UnconditionalG1",9,-0.7439,0,0,NA,"Normal",-0.1242,0.1243,16.1538,1.3825,18
4,"UnconditionalG1",12,-0.4398,0,0,NA,"Normal",-0.1242,0.1243,16.1538,1.3825,18
4,"UnconditionalG1",15,-0.1997,0.202020202020202,0.2,-0.3136,"Normal",-0.1242,0.1243,16.1538,1.3825,18
4,"UnconditionalG1",18,0,0.909090909090909,0.71,-0.0958,"Normal",-0.1242,0.1243,16.1538,1.3825,18
4,"UnconditionalG1",21,0.1721,1,0.09,0.089,"Normal",-0.1242,0.1243,16.1538,1.3825,18
4,"UnconditionalG1",24,0.3242,1,0,NA,"Normal",-0.1242,0.1243,16.1538,1.3825,18
4,"UnconditionalG1",27,0.4611,1,0,NA,"Normal",-0.1242,0.1243,16.1538,1.3825,18
4,"UnconditionalG1",30,0.5863,1,0,NA,"Normal",-0.1242,0.1243,16.1538,1.3825,18
4,"UnconditionalG1",33,0.7021,1,0,NA,"Normal",-0.1242,0.1243,16.1538,1.3825,18
